id,dc.degree.name,Field,Department,College,dc.degree.discipline,dc.identifier.uri,dc.date.copyright,,,Comment
45495,Doctor of Philosophy (Ph. D.),Design and Human Environment,Design and Human Environment,,Business,http://hdl.handle.net/1957/39499,6/10/2013,,2013,
50726,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Business,http://hdl.handle.net/1957/44917,12/19/2013,,2013,
52730,Master of Arts (M.A.),Design and Human Environment,Design and Human Environment,,Business,http://hdl.handle.net/1957/46823,3/6/2014,,2014,
55566,Doctor of Philosophy (Ph. D.),Design and Human Environment,Design and Human Environment,,Business,http://hdl.handle.net/1957/49798,5/13/2014,,2014,
56822,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Business,http://hdl.handle.net/1957/50988,6/11/2014,,2014,
59054,Doctor of Philosophy (Ph. D.),Design and Human Environment,Design and Human Environment,,Business,http://hdl.handle.net/1957/52795,6/13/2014,,2014,
38711,Doctor of Philosophy (Ph. D.),Atmospheric Sciences,,,"Earth, Oceanic and Atmospheric Sciences",http://hdl.handle.net/1957/33987,9/6/2012,,2012,
54789,Doctor of Philosophy (Ph. D.),"Earth, Ocean and Atmospheric Sciences",,,"Earth, Oceanic and Atmospheric Sciences",http://hdl.handle.net/1957/49095,4/4/2014,,2014,
44361,Doctor of Philosophy (Ph. D.),Education,Education,,Education||Health and Human Sciences,http://hdl.handle.net/1957/41038,11/22/1988,,1988,
11051,Master of Science (M.S.),Fisheries,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/8632,0,,1904,
11835,Master of Science (M.S.),Fisheries and Wildlife,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/9204,0,,1904,
12047,Master of Science (M.S.),Fisheries and Wildlife,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/9347,0,,1904,
13581,Master of Science (M.S.),Fisheries and Wildlife,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/10575,0,,1904,
22786,Doctor of Philosophy (Ph. D.),Fisheries and Wildlife,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/19051,6/9/1981,,1981,
12882,Doctor of Philosophy (Ph. D.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/10123,0,,1904,
14298,Master of Science (M.S.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/11210,0,,1904,
11708,Doctor of Philosophy (Ph. D.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/9113,4/13/2001,Agricultural Sciences,2001,
26993,Master of Science (M.S.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/22963,12/15/2004,Agricultural Sciences,2004,
11659,Doctor of Philosophy (Ph. D.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/9149,6/27/2008,Agricultural Sciences,2008,
11909,Master of Science (M.S.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/9291,8/14/2008,Agricultural Sciences,2008,
12150,Doctor of Philosophy (Ph. D.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/9508,9/10/2008,Agricultural Sciences,2008,
13002,Master of Science (M.S.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/10265,10/31/2008,Agricultural Sciences,2008,
13116,Master of Science (M.S.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/10312,12/5/2008,Agricultural Sciences,2008,
22967,Master of Science (M.S.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/19199,10/1/2010,Agricultural Sciences,2010,
23898,Master of Science (M.S.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/20064,1/5/2011,Agricultural Sciences,2011,
27897,Master of Science (M.S.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/23776,7/25/2011,Agricultural Sciences,2011,
28122,Doctor of Philosophy (Ph. D.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/23870,8/23/2011,Agricultural Sciences,2011,
31506,Master of Science (M.S.),Fisheries Science,Fisheries and Wildlife,,Fisheries and Wildlife,http://hdl.handle.net/1957/26455,12/2/2011,Agricultural Sciences,2011,
23831,Doctor of Philosophy (Ph. D.),Wood Science,Wood Science and Engineering,,Forestry,http://hdl.handle.net/1957/20008,9/8/2004,,2004,
23711,Master of Science (M.S.),Wood Science,Wood Science and Engineering,,Forestry,http://hdl.handle.net/1957/19878,9/9/2004,,2004,
23776,Doctor of Philosophy (Ph. D.),Wood Science,Wood Science and Engineering,,Forestry,http://hdl.handle.net/1957/19945,2/3/2005,,2005,
23843,Master of Science (M.S.),Wood Science,Wood Science and Engineering,,Forestry,http://hdl.handle.net/1957/20006,5/10/2005,,2005,
12707,Doctor of Philosophy (Ph. D.),Economics,Business,Graduate School,Graduate School,http://hdl.handle.net/1957/9949,11/26/2008,,2008,
26059,Doctor of Philosophy (Ph. D.),Economics,Business,Graduate School,Graduate School,http://hdl.handle.net/1957/21940,5/25/2011,,2011,
11874,Master of Arts (M.A.),English,Liberal Arts,Graduate School,Graduate School,http://hdl.handle.net/1957/9270,7/30/2008,,2008,"College is CLA, Department is English"
33729,Master of Arts (M.A.),English,Liberal Arts,Graduate School,Graduate School,http://hdl.handle.net/1957/29094,4/16/2012,,2012,
24743,Master of Science (M.S.),Entomology,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/20858,12/6/2010,,2010,
25713,Doctor of Philosophy (Ph. D.),Environmental Science,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/21695,5/24/2011,,2011,
33625,Doctor of Philosophy (Ph. D.),Environmental Science,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/29064,4/26/2012,,2012,
45758,Master of Science (M.S.),Environmental Science,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/40121,6/10/2013,,2013,
48884,Master of Science (M.S.),Environmental Science,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/43339,9/9/2013,,2013,
50324,Doctor of Philosophy (Ph. D.),Environmental Science,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/44615,11/5/2013,,2013,
50722,Doctor of Philosophy (Ph. D.),Environmental Science,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/45045,12/2/2013,,2013,
50865,Master of Science (M.S.),Environmental Science,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/45648,12/20/2013,,2013,
53235,Master of Science (M.S.),Environmental Science,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/47402,3/21/2014,,2014,
59184,Master of Science (M.S.),Environmental Science,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/53236,9/25/2014,,2014,
61538,Doctor of Philosophy (Ph. D.),Environmental Science,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/55109,12/9/2014,,2014,
23809,Doctor of Philosophy (Ph. D.),Environmental Sciences,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/19978,4/27/2004,,2004,
39245,Doctor of Philosophy (Ph. D.),Environmental Sciences,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/34446,9/6/2012,,2012,
48546,Master of Science (M.S.),Environmental Sciences,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/42881,9/17/2013,,2013,
61536,Master of Science (M.S.),Environmental Sciences,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/55110,1/6/2015,,2015,
61753,Doctor of Philosophy (Ph. D.),Environmental Sciences,Agricultural Sciences,Graduate School,Graduate School,http://hdl.handle.net/1957/55311,1/30/2015,,2015,
42036,Master of Arts,Interdisciplinary Studies (M.A.I.S.),,,Graduate School,http://hdl.handle.net/1957/36582,5/6/1991,,1991,
13665,Master of Science (M.S.),"Clothing, Textiles and Related Arts",,,Health and Human Sciences,http://hdl.handle.net/1957/10670,0,,1904,
13833,Master of Science (M.S.),"Clothing, Textiles and Related Arts",,,Health and Human Sciences,http://hdl.handle.net/1957/10776,0,,1904,
23958,Master of Science (M.S.),"Clothing, Textiles and Related Arts",,,Health and Human Sciences,http://hdl.handle.net/1957/20103,12/12/1973,,1973,
27643,Master of Science (M.S.),"Clothing, Textiles, and Related Arts",,,Health and Human Sciences,http://hdl.handle.net/1957/23381,6/7/1962,,1962,
46337,Master of Science (M.S.),"Clothing, Textiles, and Related Arts",,,Health and Human Sciences,http://hdl.handle.net/1957/40351,4/25/1986,,1986,
11423,Doctor of Philosophy (Ph. D.),Design and Human Environment,,,Health and Human Sciences,http://hdl.handle.net/1957/8959,0,,1904,
34085,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,Health and Human Sciences,Health and Human Sciences,Health and Human Sciences,2004,
33219,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,http://hdl.handle.net/1957/28675,9/24/2004,Health and Human Sciences,2004,
26631,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,http://hdl.handle.net/1957/22538,12/2/2005,Health and Human Sciences,2005,
33339,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,http://hdl.handle.net/1957/28855,12/2/2005,Health and Human Sciences,2005,
33551,Master of Arts (M.A.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,http://hdl.handle.net/1957/28957,5/1/2006,Health and Human Sciences,2006,
26632,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,http://hdl.handle.net/1957/22536,5/19/2006,Health and Human Sciences,2006,
26236,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,http://hdl.handle.net/1957/22701,11/27/2006,Health and Human Sciences,2006,
10802,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,http://hdl.handle.net/1957/8479,4/17/2008,Health and Human Sciences,2008,
10781,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,http://hdl.handle.net/1957/8458,4/25/2008,Health and Human Sciences,2008,
11515,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,http://hdl.handle.net/1957/8960,5/22/2008,Health and Human Sciences,2008,
11542,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,http://hdl.handle.net/1957/8991,5/22/2008,Health and Human Sciences,2008,
11417,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,http://hdl.handle.net/1957/8915,6/9/2008,Health and Human Sciences,2008,
12146,Doctor of Philosophy (Ph. D.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,http://hdl.handle.net/1957/9507,9/12/2008,Health and Human Sciences,2008,
13446,Master of Science (M.S.),Design and Human Environment,Design and Human Environment,,Health and Human Sciences,http://hdl.handle.net/1957/10530,2/6/2009,Health and Human Sciences,2009,
